암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQxMyQzNjE4MzIjNjEjJDEjJDQjJDgz,아산본내과의원,의원,서울특별시,강동구,"서울특별시 강동구 양재대로 1465, 마루홈타운 4,6층 (길동)",내과,2020-03-25
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzExIyQxIyQzIyQxMyQyNjEwMDIjNTEjJDEjJDIjJDgz,아산본재활의학과의원,의원,서울특별시,서대문구,"서울특별시 서대문구 증가로 133, 우리은행 가동 1층, 2층 (남가좌동)",재활의학과,2025-04-04
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQxIyQxIyQ4MiQzNjEyMjIjNjEjJDEjJDgjJDgz,아산본정형외과의원,의원,서울특별시,송파구,"서울특별시 송파구 오금로 512, 2층 206호 (거여동, 거여역2차쌍용아파트)",정형외과,2016-12-12
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzIxIyQxIyQxIyQ4MiQzNjE0ODEjNTEjJDEjJDYjJDgz,아산본한의원,한의원,서울특별시,강동구,"서울특별시 강동구 양재대로 1465, 마루홈타운 4,6층 (길동)",한방,2020-03-25
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMTkxIzUxIyQxIyQ1IyQ4MiQyNjEwMDIjNTEjJDEjJDYjJDgz,아산본한의원,한의원,서울특별시,서대문구,"서울특별시 서대문구 증가로 133, 우리은행 가동 1,2층 (남가좌동)",한방,2025-04-03
JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ5MiQzNjE0ODEjNzEjJDEjJDgjJDgz,아산봄내과의원,의원,강원특별자치도,속초시,"강원특별자치도 속초시 청대로 347, 4층 (교동)",내과,2024-03-08
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQxMyQzNjE0ODEjNjEjJDEjJDQjJDgz,아산봄소아청소년과의원,의원,경기도,남양주시,"경기도 남양주시 화도읍 경춘로1876번길 3, 302호",소아청소년과,2019-08-05
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ3MiQzNjEwMDIjNjEjJDEjJDQjJDgz,아산사랑의원,의원,서울특별시,송파구,"서울특별시 송파구 풍성로 52, 상가동 1층 16,17호 (풍납동, 대아아파트)",일반의,2021-01-06
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQyIyQxIyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,아산사회복지재단 보성아산병원,병원,전라남도,보성군,전라남도 보성군 미력면 가평길 36-17,일반의,1983-04-01
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjODEjJDEjJDIjJDgz,아산삼성요양병원,요양병원,충청남도,아산시,충청남도 아산시 온천대로 1446 (온천동),해당사항없음,2007-04-30
